watchlist_id,listed_name,watchlist_type,country,alias_1,alias_2
WL001,Conor Kowalski,PEP,Ireland,Conor Kowalsky,C. Kowalski
WL002,Daniel O'Brien,PEP,Ireland,Daniel Obrien,D. O'Brien
WL003,Conor O'Brien,PEP,Italy,Conor Obrien,C. O'Brien
WL004,Sean Murphy,SANCTIONS,Germany,Seán Murphy,Sean Murphey
WL005,Emma Byrne,SANCTIONS,Ireland,Emma Byrn,E. Byrne
WL006,Jack Nguyen,SANCTIONS,Ireland,J. Nguyen,Jack Ngyuen
WL007,Noah Müller,SANCTIONS,Ireland,Noah Muller,N. Mueller
WL008,Tomasz OBrien,PEP,Ireland,Tomasz O'Brien,T. OBrien
WL009,Aiofe Patel,SANCTIONS,Panama,Aoife Patel,A. Patel
WL010,Chen O Connor,PEP,Ireland,Chen O'Connor,C. OConnor
WL011,Ravi Okafour,SANCTIONS,Ireland,Ravi Okafor,R. Okafour
WL012,Gracie Rossi,PEP,Netherlands,Grace Rossi,G. Rossi
WL013,Daniel Mc Carthey,SANCTIONS,Ireland,Daniel McCarthy,D. McCarthy
WL014,Sofie Walsh,PEP,Ireland,Sophie Walsh,S. Walsh
WL015,Omar Hassan,SANCTIONS,Syria,Omar Hasan,Umar Hassan
WL016,Sergey Petrov,SANCTIONS,Russia,Sergei Petrov,S. Petrov
WL017,Fatima Al Zahra,PEP,Morocco,Fatima Zahra,F. Al Zahra
WL018,Youssef Mansour,SANCTIONS,Jordan,Yusuf Mansour,Y. Mansour
WL019,Viktor Kuznetsov,SANCTIONS,Russia,Victor Kuznetsov,V. Kuznetsov
WL020,Amina Diallo,PEP,Guinea,Aminata Diallo,A. Diallo
